SKU,QUANTITY
1303410402_BEIGE_277_27-L34,1
1303410402_BEIGE_277_28-L34,1
1303410402_BEIGE_277_29-L34,1
1201410753_GRIGIO_40_33-L34,1
1201410753_GRIGIO_40_36-L34,2
1401431953_AZZURRO_491_38,1
1401431953_AZZURRO_491_40,1
1401431953_AZZURRO_491_42,2
1401431953_AZZURRO_491_44,1
1401431953_AZZURRO_491_46,2
1603450997_NERO_5_40,2
16031503950_MARRONE_221_35,1
16031503950_MARRONE_221_42,1
17033001530_BLU_373_S,1
19014150093_BLU_433_34,1
18031000128_VERDE_340_30,1
19013015930_BLU_448_S,4
19017705068_BLU_410_50,2
19014150071_AZZURRO_420_34,1
19014150071_AZZURRO_420_36,1
K60K606510_NERO_BAX_UNI,51
19033056500_BEIGE_213_S,1
KL20MBM08_BLU_NAVY_S,54
KL20MBM08_BLU_NAVY_M,36
KL20MBM08_BLU_NAVY_L,8
KL20MBM03_NERO_BLACK_S,13
KL20MBM03_NERO_BLACK_M,25
UW0UW02037_BLU_416_XS,42
W0YAJ2D42T1_AZZURRO_GTHE_24-L30,1
W0YAJ2D42T1_AZZURRO_GTHE_26-L30,2
W0YAJ2D42T1_AZZURRO_GTHE_27-L30,1
W0YAJ2D42T1_AZZURRO_GTHE_28-L30,2
W0YAJ2D42T1_AZZURRO_GTHE_29-L30,1
W0YAJ2D42T1_AZZURRO_GTHE_30-L30,2
KL20WTP22_ROSSO_RED_S,12
18017008011_VERDE_362_M,4
18017008011_VERDE_362_L,1
M1RI71I3Z11_BIANCO_TWHT_2XL,14
KL20MBM02_NERO_BLACK_S,2
KL20WTP20_GIALLO_YELLOW_XS,49
KL20WTP20_GIALLO_YELLOW_S,27
19014150077_BEIGE_248_34-L34,1
19014150077_BEIGE_248_36-L34,2
19014150077_BEIGE_248_44-L34,1
19014150077_BEIGE_248_46-L34,1
YW0YW00134F_ARGENTO_0GU_37,1
DM0DM10627_BIANCO_YBR_2XL,1
01476003_MARRONE_252_44,1
K50K502357_BLU_000_UNI,5
08555508_VERDE_308_38,2
08555508_VERDE_308_40,2
08555508_VERDE_308_42,3
1401414703_ROSSO_603_38,2
1401414703_ROSSO_603_40,2
1401414703_ROSSO_603_42,3
1401420324_AZZURRO_992_26,4
1401420324_AZZURRO_992_27,3
1401420324_AZZURRO_992_28,2
1401410479_BLU_471_26,2
1401410479_BLU_471_27,1
1403488402_GRIGIO_96_XS,1
1501076411_AZZURRO_445_46,1
19014100067_BLU_479_26,1
19014100069_BIANCO_113_26-L34,1
19014100069_BIANCO_113_32-L34,1
1501432235_BEIGE_241_48,1
1001476222_BLU_405_40,1
1001476222_BLU_405_44,1
1701021260_BLU_970_29,1
17031000408_GRIGIO_47_30,1
50520-48847_GRIGIO_189_3XL,1
18011000017_BLU_970_28,2
GATS01STRIPES-AB30_ARANCIO_MANDARINO_XL,12
18031000148_BLU_405_30,1
18031000148_BLU_405_33,4
19011501356_MARRONE_244_36,1
19011000138_BEIGE_34_30,3
19011000138_BEIGE_34_34,2
19011007308_BEIGE_248_30-L34,1
19011007308_BEIGE_248_31-L34,8
19011007308_BEIGE_248_40-L34,1
1901921916012_VERDE_355_S,1
18017705026_BLU_409_46,1
18017700015_BLU_405_46,2
18017700015_BLU_405_48,9
18017700015_BLU_405_50,1
KL20MBM08_ROSSO_RED_S,35
KL20MBM08_ROSSO_RED_M,68
KL20MBM08_ROSSO_RED_L,33
KL19MBM02_BIANCO_WHITE_2XL,1
19014501039_BIANCO_113_36,1
19038000101_GRIGIO_93_2XL,2
18031000110_BLU_960_35-L34,3
18031000148-1_GRIGIO_015_32-L34,4
18031000148-1_GRIGIO_015_33-L34,2
19033011430_VIOLA_605_S,1
1503414838_NERO_5_34-L32,7
59252-52626_BLU_179_2XL,3
59252-52626_VERDE_149_XL,4
59252-52626_VERDE_149_2XL,8
59252-52626_VERDE_149_3XL,1
FM0FM03088_BIANCO_YBR_45,1
KL20MBM07_NERO_BLACK_S,34
KL20MBM11_NERO_BLACK_S,10
KL20MBM11_NERO_BLACK_M,25
KL20MBM11_NERO_BLACK_2XL,6
TB0A2C6H_BLU_433_S,3
M0YQ55K9V31_BEIGE_G1K6_XL,5
M0YI24J1300-1_BIANCO_TWHT_2XL,2
KL20WTP13_NERO_BLACK_XS,165
KL20WTP13_NERO_BLACK_S,239
KL20WTP13_NERO_BLACK_M,139
KL20WBT20_GIALLO_YELLOW_XS,36
KL20WBT20_GIALLO_YELLOW_S,11
KL20WBT20_GIALLO_YELLOW_M,16
KL20WBT20_GIALLO_YELLOW_L,54
20013025530_AZZURRO_468_S,6
20013025030_GIALLO_706_S,1
20014311116_BIANCO_110_36,3
20014311116_BIANCO_110_40,2
20014400036_BEIGE_277_34,8
20014400036_BEIGE_277_36,8
20014400036_BEIGE_277_38,1
20014400036_BEIGE_277_40,1
QF1654E_BIANCO_100_XS,2
J20J214412_BLU_1BJ_30-L32,1
1403408605_BLU_413_2XS,1
902342-000_GRIGIO_0926_S,6
